code,name,site_url
ANH,Học Viện An Ninh Nhân Dân,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-an-ninh-nhan-dan-ANH.html
ANS,Đại Học An Ninh Nhân Dân,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-an-ninh-nhan-dan-ANS.html
BKA,Đại Học Bách Khoa Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bach-khoa-ha-noi-BKA.html
BMU,Đại học Buôn Ma Thuột,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-buon-ma-thuot-BMU.html
BPH,Học Viện Biên Phòng,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-bien-phong-BPH.html
BVH,Học Viện Công Nghệ Bưu Chính Viễn Thông ( Phía Bắc ),http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac-BVH.html
BVS,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam-BVS.html
BVU,Đại Học Bà Rịa – Vũng Tàu,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-ba-ria-vung-tau-BVU.html
CCM,Đại Học Công Nghiệp Dệt May Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-det-may-ha-noi-CCM.html
CEA,Đại học Kinh Tế Nghệ An,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-kinh-te-nghe-an-CEA.html
CSH,Học Viện Cảnh Sát Nhân Dân,http://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-canh-sat-nhan-dan-CSH.html
CSS,Đại Học Cảnh Sát Nhân Dân,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-canh-sat-nhan-dan-CSS.html
DAD,Đại Học Đông Á,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dong-a-DAD.html
DBD,Đại Học Bình Dương,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-binh-duong-DBD.html
DBG,Đại học Nông Lâm Bắc Giang,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-nong-lam-bac-giang-DBG.html
DBL,Đại Học Bạc Liêu,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-bac-lieu-DBL.html
DCA,Đại Học Chu Văn An,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-chu-van-an-DCA.html
DCD,Đại Học Công Nghệ Đồng Nai,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-dong-nai-DCD.html
DCG,Đại Học Tư Thục Công Nghệ Thông Tin Gia Định,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-tu-thuc-cong-nghe-thong-tin-gia-dinh-DCG.html
DCH,Trường Sĩ Quan Đặc Công,http://diemthi.tuyensinh247.com/diem-chuan/truong-si-quan-dac-cong-DCH.html
DCL,Đại Học Cửu Long,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cuu-long-DCL.html
DCN,Đại Học Công Nghiệp Hà Nội,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-ha-noi-DCN.html
DCT,Đại Học Công Nghiệp Thực Phẩm TP HCM,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-thuc-pham-tp-hcm-DCT.html
DCV,Đại học Công nghiệp Vinh,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghiep-vinh-DCV.html
DDB,Đại Học Thành Đông,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-thanh-dong-DDB.html
DDD,Đại Học Dân Lập Đông Đô,http://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-dan-lap-dong-do-DDD.html
